Team,AVG,R,SLG%,OB%
BSC,0.398,60,0.517,0.506
BSC,0.389,64,0.635,0.488
BSC,0.359,56,0.627,0.435
BSC,0.364,50,0.734,0.447
BSC,0.344,53,0.486,0.423
BSC,0.301,45,0.584,0.425
BSC,0.238,8,0.381,0.429
BSC,0.338,39,0.554,0.424
BSC,0.235,17,0.353,0.461
BSC,0.361,56,0.41,0.439
BSC,0.212,11,0.388,0.266
BSC,0.25,1,0.25,0.5
BSC,0.289,16,0.421,0.413
BSC,0.319,10,0.435,0.413
BSC,0.25,1,0.25,0.571
BSC,0.313,3,0.625,0.389
BSC,0.293,10,0.341,0.463
BSC,0.2,0,0.2,0.2
BSC,0.2,0,0.2,0.429
Berry,0.207,25,0.268,0.381
Berry,0.379,28,0.529,0.463
Berry,0.403,37,0.532,0.439
Berry,0.379,30,0.405,0.421
Berry,0.438,49,0.591,0.541
Berry,0,3,0,0.375
Berry,0.273,12,0.325,0.364
Berry,0.309,14,0.364,0.387
Berry,0.361,41,0.605,0.424
Berry,0.286,1,0.286,0.444
Berry,0.255,15,0.449,0.357
Berry,0.34,22,0.392,0.398
Berry,0,3,0,0.167
Berry,0.357,34,0.589,0.428
Berry,0.2,2,0.267,0.333
Berry,0.365,14,0.378,0.402
Berry,0.31,26,0.469,0.381
Berry,0.417,4,0.583,0.556
Berry,0.231,2,0.308,0.286
Berry,0.5,0,0.5,0.5
Berry,0.25,0,0.25,0.25
Berry,0,0,0,0.2
Berry,0.231,2,0.308,0.333
Rhodes,0.3,46,0.394,0.409
Rhodes,0.411,40,0.582,0.45
Rhodes,0.328,35,0.54,0.413
Rhodes,0.312,37,0.406,0.399
Rhodes,0.313,39,0.396,0.449
Rhodes,0.329,20,0.539,0.411
Rhodes,0.38,33,0.528,0.449
Rhodes,0.278,13,0.342,0.418
Rhodes,0.23,8,0.262,0.31
Rhodes,0.32,7,0.4,0.452
Rhodes,0.154,4,0.154,0.313
Rhodes,0,2,0,0.333
Rhodes,0.298,18,0.369,0.375
Rhodes,0.333,5,0.8,0.421
Rhodes,0.391,2,0.391,0.44
Rhodes,0,0,0,1
Rhodes,0.339,10,0.452,0.44
Rhodes,0.25,5,0.313,0.294
Rhodes,0.308,12,0.338,0.365
Rhodes,0.5,7,0.5,0.75
Millsaps,0.333,54,0.548,0.454
Millsaps,0.316,35,0.487,0.41
Millsaps,0.351,38,0.405,0.463
Millsaps,0.317,39,0.532,0.353
Millsaps,0.263,45,0.363,0.372
Millsaps,0.342,36,0.577,0.429
Millsaps,0.325,4,0.5,0.417
Millsaps,0.385,6,0.462,0.467
Millsaps,0.262,25,0.354,0.378
Millsaps,0.288,13,0.375,0.406
Millsaps,0.4,1,0.6,0.4
Millsaps,0.188,7,0.333,0.304
Millsaps,0.3,13,0.36,0.471
Millsaps,0.25,7,0.25,0.39
Millsaps,0.192,15,0.232,0.289
Millsaps,0.143,1,0.143,0.25
Millsaps,0.325,8,0.45,0.444
Hendrix,0.312,50,0.512,0.422
Hendrix,0.271,13,0.318,0.374
Hendrix,0.338,38,0.545,0.443
Hendrix,0.286,30,0.442,0.393
Hendrix,0.296,39,0.368,0.405
Hendrix,0.18,13,0.262,0.297
Hendrix,0.298,12,0.447,0.493
Hendrix,0.227,19,0.412,0.35
Hendrix,0.471,32,0.559,0.563
Hendrix,0,0,0,0.333
Hendrix,0.167,3,0.333,0.25
Hendrix,0.25,0,0.25,0.25
Hendrix,0.262,28,0.31,0.365
Hendrix,0.348,7,0.478,0.464
Hendrix,0.233,5,0.419,0.327
Hendrix,0.226,29,0.323,0.355
Hendrix,0,5,0,0.6
Hendrix,0.115,3,0.154,0.343
Hendrix,0.212,9,0.242,0.349
Hendrix,0.231,1,0.231,0.353
Oglethorpe,0.273,29,0.288,0.385
Oglethorpe,0.365,44,0.554,0.484
Oglethorpe,0.352,29,0.479,0.404
Oglethorpe,0.285,19,0.321,0.348
Oglethorpe,0.278,20,0.365,0.378
Oglethorpe,0.348,21,0.496,0.415
Oglethorpe,0.198,15,0.225,0.273
Oglethorpe,0.163,13,0.174,0.308
Oglethorpe,0.319,11,0.426,0.418
Oglethorpe,0,1,0,0.2
Oglethorpe,0.276,12,0.316,0.363
Oglethorpe,0.25,3,0.341,0.267
Oglethorpe,0.244,3,0.244,0.295
Oglethorpe,0,4,0,0.1
Oglethorpe,0.2,3,0.267,0.278
Oglethorpe,0.267,1,0.3,0.29
Oglethorpe,0.32,2,0.44,0.469
Centre,0.373,31,0.472,0.458
Centre,0.288,30,0.409,0.351
Centre,0.372,42,0.583,0.492
Centre,0.246,18,0.303,0.434
Centre,0.29,38,0.438,0.368
Centre,0.286,10,0.347,0.417
Centre,0.289,23,0.381,0.418
Centre,0.325,12,0.364,0.381
Centre,0.216,14,0.278,0.296
Centre,0.216,8,0.243,0.333
Centre,0.216,8,0.243,0.333
Centre,0,0,0,0.2
Centre,0.18,10,0.262,0.246
Centre,0.2,3,0.45,0.227
Centre,0,0,0,0.1
Centre,0.232,11,0.333,0.346
Centre,0.171,9,0.22,0.32
Centre,0.2,1,0.5,0.273
Centre,0.313,5,0.313,0.389
Sewanee,0.252,16,0.327,0.365
Sewanee,0.216,11,0.275,0.314
Sewanee,0.295,20,0.403,0.38
Sewanee,0.225,13,0.342,0.31
Sewanee,0.269,19,0.492,0.338
Sewanee,0.262,10,0.361,0.318
Sewanee,0.285,15,0.375,0.335
Sewanee,0.15,4,0.15,0.222
Sewanee,0.272,13,0.359,0.35
Sewanee,0.212,4,0.212,0.35
Sewanee,0.222,2,0.222,0.25
Sewanee,0.14,3,0.16,0.228
Sewanee,0.273,1,0.364,0.467
Sewanee,0.188,1,0.5,0.316
Sewanee,0.273,1,0.273,0.273
Sewanee,0.149,2,0.213,0.245
Sewanee,0.216,5,0.27,0.318
Sewanee,0,0,0,0.143
Sewanee,0,0,0,0.2
Sewanee,0.4,1,0.6,0.4
Sewanee,0.235,15,0.265,0.345
Middlebury,0.256,29,0.487,0.338
Middlebury,0.32,30,0.598,0.38
Middlebury,0.358,49,0.682,0.47
Middlebury,0.483,24,0.678,0.552
Middlebury,0.27,23,0.559,0.341
Middlebury,0.381,39,0.761,0.444
Middlebury,0.322,34,0.415,0.43
Middlebury,0.339,28,0.449,0.386
Middlebury,0.299,32,0.571,0.432
